"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.606,"fiducial-n",10,0.417,0.552
"3",0.01,10.579,"bayesian-n",10,0.288,0.68
"4",0.01,6.823,"fiducial-n",50,0.968,0.022
"5",0.01,5.987,"bayesian-n",50,0.937,0.035
"6",0.01,5.013,"fiducial-n",100,0.061,0.876
"7",0.01,5.184,"bayesian-n",100,0.056,0.9
"8",0.05,7.313,"fiducial-n",10,0.054,0.905
"9",0.05,8.401,"bayesian-n",10,0.056,0.918
"10",0.05,2.612,"fiducial-n",50,0.067,0.812
"11",0.05,2.66,"bayesian-n",50,0.073,0.822
"12",0.05,1.12,"fiducial-n",100,0.237,0.483
"13",0.05,1.105,"bayesian-n",100,0.287,0.429
"14",0.1,2.41,"fiducial-n",10,0.403,0.464
"15",0.1,2.372,"bayesian-n",10,0.374,0.491
"16",0.1,1.14,"fiducial-n",50,0.561,0.192
"17",0.1,1.152,"bayesian-n",50,0.58,0.172
"18",0.1,2.416,"fiducial-n",100,0.993,0
"19",0.1,2.439,"bayesian-n",100,0.992,0.001
"20",0.2,1.74,"fiducial-n",10,0.665,0.19
"21",0.2,1.76,"bayesian-n",10,0.628,0.193
"22",0.2,0.731,"fiducial-n",50,0.48,0.15
"23",0.2,0.691,"bayesian-n",50,0.45,0.151
"24",0.2,0.381,"fiducial-n",100,0.252,0.123
"25",0.2,0.364,"bayesian-n",100,0.247,0.112
"26",0.4,1.983,"fiducial-n",10,0.898,0.021
"27",0.4,1.928,"bayesian-n",10,0.905,0.019
"28",0.4,0.387,"fiducial-n",50,0.022,0.351
"29",0.4,0.385,"bayesian-n",50,0.028,0.346
"30",0.4,0.067,"fiducial-n",100,0.008,0.059
"31",0.4,0.083,"bayesian-n",100,0.009,0.074
"32",0.5,0.677,"fiducial-n",10,0.323,0.238
"33",0.5,0.718,"bayesian-n",10,0.355,0.258
"34",0.5,0.165,"fiducial-n",50,0.018,0.147
"35",0.5,0.161,"bayesian-n",50,0.023,0.138
"36",0.5,0.237,"fiducial-n",100,0.237,0
"37",0.5,0.241,"bayesian-n",100,0.241,0
"38",0.6,0.661,"fiducial-n",10,0.519,0.085
"39",0.6,0.677,"bayesian-n",10,0.528,0.087
"40",0.6,0.066,"fiducial-n",50,0.003,0.063
"41",0.6,0.051,"bayesian-n",50,0,0.051
"42",0.6,0.003,"fiducial-n",100,0,0.003
"43",0.6,0.003,"bayesian-n",100,0,0.003
"44",0.7,0.711,"fiducial-n",10,0.01,0.606
"45",0.7,0.703,"bayesian-n",10,0.006,0.605
"46",0.7,0.033,"fiducial-n",50,0,0.033
"47",0.7,0.033,"bayesian-n",50,0,0.033
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.049,"fiducial-n",10,0,0.049
"51",0.8,0.06,"bayesian-n",10,0,0.06
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.005,"fiducial-n",10,0,0.005
"57",0.9,0.01,"bayesian-n",10,0,0.01
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
