"","P","n","parameter","data_size"
"1",NA,NA,NA,NA
"2",0.01,9,"fiducial-n",10
"3",0.01,12,"fiducial-n",10
"4",0.01,12,"fiducial-n",10
"5",0.01,27,"fiducial-n",10
"6",0.01,31,"fiducial-n",10
"7",0.01,21,"fiducial-n",10
"8",0.01,11,"fiducial-n",10
"9",0.01,13,"fiducial-n",10
"10",0.01,37,"fiducial-n",10
"11",0.01,4,"fiducial-n",10
"12",0.01,53,"fiducial-n",10
"13",0.01,8,"fiducial-n",10
"14",0.01,12,"fiducial-n",10
"15",0.01,41,"fiducial-n",10
"16",0.01,16,"fiducial-n",10
"17",0.01,31,"fiducial-n",10
"18",0.01,14,"fiducial-n",10
"19",0.01,41,"fiducial-n",10
"20",0.01,38,"fiducial-n",10
"21",0.01,15,"fiducial-n",10
"22",0.01,14,"fiducial-n",10
"23",0.01,58,"fiducial-n",10
"24",0.01,14,"fiducial-n",10
"25",0.01,55,"fiducial-n",10
"26",0.01,24,"fiducial-n",10
"27",0.01,44,"fiducial-n",10
"28",0.01,38,"fiducial-n",10
"29",0.01,29,"fiducial-n",10
"30",0.01,11,"fiducial-n",10
"31",0.01,8,"fiducial-n",10
"32",0.01,18,"fiducial-n",10
"33",0.01,50,"fiducial-n",10
"34",0.01,8,"fiducial-n",10
"35",0.01,9,"fiducial-n",10
"36",0.01,23,"fiducial-n",10
"37",0.01,35,"fiducial-n",10
"38",0.01,43,"fiducial-n",10
"39",0.01,69,"fiducial-n",10
"40",0.01,59,"fiducial-n",10
"41",0.01,16,"fiducial-n",10
"42",0.01,7,"fiducial-n",10
"43",0.01,8,"fiducial-n",10
"44",0.01,15,"fiducial-n",10
"45",0.01,9,"fiducial-n",10
"46",0.01,6,"fiducial-n",10
"47",0.01,21,"fiducial-n",10
"48",0.01,11,"fiducial-n",10
"49",0.01,24,"fiducial-n",10
"50",0.01,105,"fiducial-n",10
"51",0.01,11,"fiducial-n",10
"52",0.01,9,"fiducial-n",10
"53",0.01,26,"fiducial-n",10
"54",0.01,15,"fiducial-n",10
"55",0.01,7,"fiducial-n",10
"56",0.01,10,"fiducial-n",10
"57",0.01,42,"fiducial-n",10
"58",0.01,10,"fiducial-n",10
"59",0.01,63,"fiducial-n",10
"60",0.01,13,"fiducial-n",10
"61",0.01,16,"fiducial-n",10
"62",0.01,13,"fiducial-n",10
"63",0.01,21,"fiducial-n",10
"64",0.01,31,"fiducial-n",10
"65",0.01,15,"fiducial-n",10
"66",0.01,5,"fiducial-n",10
"67",0.01,16,"fiducial-n",10
"68",0.01,12,"fiducial-n",10
"69",0.01,31,"fiducial-n",10
"70",0.01,8,"fiducial-n",10
"71",0.01,19,"fiducial-n",10
"72",0.01,54,"fiducial-n",10
"73",0.01,13,"fiducial-n",10
"74",0.01,13,"fiducial-n",10
"75",0.01,6,"fiducial-n",10
"76",0.01,15,"fiducial-n",10
"77",0.01,47,"fiducial-n",10
"78",0.01,10,"fiducial-n",10
"79",0.01,18,"fiducial-n",10
"80",0.01,15,"fiducial-n",10
"81",0.01,15,"fiducial-n",10
"82",0.01,16,"fiducial-n",10
"83",0.01,66,"fiducial-n",10
"84",0.01,35,"fiducial-n",10
"85",0.01,45,"fiducial-n",10
"86",0.01,9,"fiducial-n",10
"87",0.01,12,"fiducial-n",10
"88",0.01,22,"fiducial-n",10
"89",0.01,6,"fiducial-n",10
"90",0.01,30,"fiducial-n",10
"91",0.01,3,"fiducial-n",10
"92",0.01,22,"fiducial-n",10
"93",0.01,18,"fiducial-n",10
"94",0.01,52,"fiducial-n",10
"95",0.01,50,"fiducial-n",10
"96",0.01,27,"fiducial-n",10
"97",0.01,38,"fiducial-n",10
"98",0.01,21,"fiducial-n",10
"99",0.01,22,"fiducial-n",10
"100",0.01,27,"fiducial-n",10
"101",0.01,33,"fiducial-n",10
"102",0.01,44,"bayesian-n",10
"103",0.01,34,"bayesian-n",10
"104",0.01,40,"bayesian-n",10
"105",0.01,13,"bayesian-n",10
"106",0.01,21,"bayesian-n",10
"107",0.01,24,"bayesian-n",10
"108",0.01,12,"bayesian-n",10
"109",0.01,27,"bayesian-n",10
"110",0.01,40,"bayesian-n",10
"111",0.01,20,"bayesian-n",10
"112",0.01,7,"bayesian-n",10
"113",0.01,42,"bayesian-n",10
"114",0.01,15,"bayesian-n",10
"115",0.01,37,"bayesian-n",10
"116",0.01,16,"bayesian-n",10
"117",0.01,57,"bayesian-n",10
"118",0.01,27,"bayesian-n",10
"119",0.01,9,"bayesian-n",10
"120",0.01,12,"bayesian-n",10
"121",0.01,29,"bayesian-n",10
"122",0.01,2,"bayesian-n",10
"123",0.01,67,"bayesian-n",10
"124",0.01,41,"bayesian-n",10
"125",0.01,47,"bayesian-n",10
"126",0.01,40,"bayesian-n",10
"127",0.01,15,"bayesian-n",10
"128",0.01,26,"bayesian-n",10
"129",0.01,48,"bayesian-n",10
"130",0.01,24,"bayesian-n",10
"131",0.01,20,"bayesian-n",10
"132",0.01,37,"bayesian-n",10
"133",0.01,14,"bayesian-n",10
"134",0.01,25,"bayesian-n",10
"135",0.01,67,"bayesian-n",10
"136",0.01,48,"bayesian-n",10
"137",0.01,36,"bayesian-n",10
"138",0.01,24,"bayesian-n",10
"139",0.01,26,"bayesian-n",10
"140",0.01,5,"bayesian-n",10
"141",0.01,31,"bayesian-n",10
"142",0.01,20,"bayesian-n",10
"143",0.01,40,"bayesian-n",10
"144",0.01,38,"bayesian-n",10
"145",0.01,37,"bayesian-n",10
"146",0.01,47,"bayesian-n",10
"147",0.01,27,"bayesian-n",10
"148",0.01,33,"bayesian-n",10
"149",0.01,30,"bayesian-n",10
"150",0.01,30,"bayesian-n",10
"151",0.01,23,"bayesian-n",10
"152",0.01,73,"bayesian-n",10
"153",0.01,25,"bayesian-n",10
"154",0.01,26,"bayesian-n",10
"155",0.01,37,"bayesian-n",10
"156",0.01,24,"bayesian-n",10
"157",0.01,38,"bayesian-n",10
"158",0.01,13,"bayesian-n",10
"159",0.01,23,"bayesian-n",10
"160",0.01,16,"bayesian-n",10
"161",0.01,45,"bayesian-n",10
"162",0.01,24,"bayesian-n",10
"163",0.01,11,"bayesian-n",10
"164",0.01,15,"bayesian-n",10
"165",0.01,12,"bayesian-n",10
"166",0.01,33,"bayesian-n",10
"167",0.01,18,"bayesian-n",10
"168",0.01,30,"bayesian-n",10
"169",0.01,40,"bayesian-n",10
"170",0.01,37,"bayesian-n",10
"171",0.01,62,"bayesian-n",10
"172",0.01,21,"bayesian-n",10
"173",0.01,18,"bayesian-n",10
"174",0.01,77,"bayesian-n",10
"175",0.01,17,"bayesian-n",10
"176",0.01,13,"bayesian-n",10
"177",0.01,57,"bayesian-n",10
"178",0.01,36,"bayesian-n",10
"179",0.01,15,"bayesian-n",10
"180",0.01,8,"bayesian-n",10
"181",0.01,21,"bayesian-n",10
"182",0.01,14,"bayesian-n",10
"183",0.01,32,"bayesian-n",10
"184",0.01,16,"bayesian-n",10
"185",0.01,12,"bayesian-n",10
"186",0.01,30,"bayesian-n",10
"187",0.01,9,"bayesian-n",10
"188",0.01,21,"bayesian-n",10
"189",0.01,22,"bayesian-n",10
"190",0.01,27,"bayesian-n",10
"191",0.01,46,"bayesian-n",10
"192",0.01,23,"bayesian-n",10
"193",0.01,17,"bayesian-n",10
"194",0.01,51,"bayesian-n",10
"195",0.01,18,"bayesian-n",10
"196",0.01,28,"bayesian-n",10
"197",0.01,9,"bayesian-n",10
"198",0.01,39,"bayesian-n",10
"199",0.01,36,"bayesian-n",10
"200",0.01,8,"bayesian-n",10
"201",0.01,122,"bayesian-n",10
"202",0.01,12,"fiducial-n",50
"203",0.01,11,"fiducial-n",50
"204",0.01,8,"fiducial-n",50
"205",0.01,10,"fiducial-n",50
"206",0.01,8,"fiducial-n",50
"207",0.01,11,"fiducial-n",50
"208",0.01,12,"fiducial-n",50
"209",0.01,9,"fiducial-n",50
"210",0.01,8,"fiducial-n",50
"211",0.01,19,"fiducial-n",50
"212",0.01,18,"fiducial-n",50
"213",0.01,12,"fiducial-n",50
"214",0.01,9,"fiducial-n",50
"215",0.01,27,"fiducial-n",50
"216",0.01,9,"fiducial-n",50
"217",0.01,7,"fiducial-n",50
"218",0.01,20,"fiducial-n",50
"219",0.01,16,"fiducial-n",50
"220",0.01,7,"fiducial-n",50
"221",0.01,6,"fiducial-n",50
"222",0.01,16,"fiducial-n",50
"223",0.01,20,"fiducial-n",50
"224",0.01,6,"fiducial-n",50
"225",0.01,10,"fiducial-n",50
"226",0.01,20,"fiducial-n",50
"227",0.01,11,"fiducial-n",50
"228",0.01,18,"fiducial-n",50
"229",0.01,12,"fiducial-n",50
"230",0.01,12,"fiducial-n",50
"231",0.01,8,"fiducial-n",50
"232",0.01,17,"fiducial-n",50
"233",0.01,12,"fiducial-n",50
"234",0.01,10,"fiducial-n",50
"235",0.01,11,"fiducial-n",50
"236",0.01,17,"fiducial-n",50
"237",0.01,15,"fiducial-n",50
"238",0.01,5,"fiducial-n",50
"239",0.01,9,"fiducial-n",50
"240",0.01,7,"fiducial-n",50
"241",0.01,8,"fiducial-n",50
"242",0.01,9,"fiducial-n",50
"243",0.01,10,"fiducial-n",50
"244",0.01,12,"fiducial-n",50
"245",0.01,13,"fiducial-n",50
"246",0.01,17,"fiducial-n",50
"247",0.01,9,"fiducial-n",50
"248",0.01,12,"fiducial-n",50
"249",0.01,12,"fiducial-n",50
"250",0.01,6,"fiducial-n",50
"251",0.01,12,"fiducial-n",50
"252",0.01,8,"fiducial-n",50
"253",0.01,12,"fiducial-n",50
"254",0.01,3,"fiducial-n",50
"255",0.01,6,"fiducial-n",50
"256",0.01,14,"fiducial-n",50
"257",0.01,6,"fiducial-n",50
"258",0.01,20,"fiducial-n",50
"259",0.01,12,"fiducial-n",50
"260",0.01,8,"fiducial-n",50
"261",0.01,7,"fiducial-n",50
"262",0.01,8,"fiducial-n",50
"263",0.01,13,"fiducial-n",50
"264",0.01,15,"fiducial-n",50
"265",0.01,11,"fiducial-n",50
"266",0.01,26,"fiducial-n",50
"267",0.01,10,"fiducial-n",50
"268",0.01,16,"fiducial-n",50
"269",0.01,21,"fiducial-n",50
"270",0.01,14,"fiducial-n",50
"271",0.01,9,"fiducial-n",50
"272",0.01,10,"fiducial-n",50
"273",0.01,9,"fiducial-n",50
"274",0.01,4,"fiducial-n",50
"275",0.01,6,"fiducial-n",50
"276",0.01,31,"fiducial-n",50
"277",0.01,10,"fiducial-n",50
"278",0.01,10,"fiducial-n",50
"279",0.01,12,"fiducial-n",50
"280",0.01,14,"fiducial-n",50
"281",0.01,22,"fiducial-n",50
"282",0.01,18,"fiducial-n",50
"283",0.01,14,"fiducial-n",50
"284",0.01,12,"fiducial-n",50
"285",0.01,15,"fiducial-n",50
"286",0.01,18,"fiducial-n",50
"287",0.01,14,"fiducial-n",50
"288",0.01,9,"fiducial-n",50
"289",0.01,10,"fiducial-n",50
"290",0.01,20,"fiducial-n",50
"291",0.01,6,"fiducial-n",50
"292",0.01,21,"fiducial-n",50
"293",0.01,8,"fiducial-n",50
"294",0.01,28,"fiducial-n",50
"295",0.01,17,"fiducial-n",50
"296",0.01,14,"fiducial-n",50
"297",0.01,14,"fiducial-n",50
"298",0.01,13,"fiducial-n",50
"299",0.01,17,"fiducial-n",50
"300",0.01,14,"fiducial-n",50
"301",0.01,28,"fiducial-n",50
"302",0.01,11,"bayesian-n",50
"303",0.01,17,"bayesian-n",50
"304",0.01,17,"bayesian-n",50
