"","lower_p","upper_p","n_value","iteration_number"
"2",0.822429227319316,0.848064094755105,16,0
"3",0.764093624565646,0.812105224050185,17,0
"4",0.731269935357768,0.775235474297831,18,0
"5",0.700805133047073,0.726869926915537,19,0
"6",0.672532814728947,0.684863199691706,20,0
"7",0.646275494107905,0.647838009388221,21,0
"21",0.822429227319316,0.848064094755105,16,2
"31",0.764093624565646,0.812105224050185,17,2
"41",0.731269935357768,0.775235474297831,18,2
"51",0.700805133047073,0.726869926915537,19,2
"61",0.672532814728947,0.684863199691706,20,2
"71",0.646275494107905,0.647838009388221,21,2
"22",0.721861881971389,0.724910446674401,16,3
"23",0.608025552396959,0.61269185502481,16,4
"24",0.629791525739047,0.630365257577091,16,5
"25",0.576055620972103,0.577063566420692,16,6
"26",0.576055620972103,0.577376643555189,16,7
"27",0.577186635212457,0.577376643555189,16,8
"28",0.577674671928155,0.5795882340515,16,9
"29",0.653882598316284,0.654635337894672,16,10
"210",0.627810757877008,0.629184559579404,16,11
"211",0.627472041559739,0.629184559579404,16,12
"212",0.637366210701411,0.640406063905125,16,13
"213",0.564267377618691,0.567189207613457,16,14
"214",0.529674456970778,0.532521285014076,17,15
"215",0.500607092037819,0.502606553596575,18,16
"216",0.544224354698404,0.5446893453877,17,17
"217",0.513786485911802,0.518016527453261,18,18
"32",0.483469966381575,0.485323585798689,19,18
"218",0.517861341705321,0.518016527453261,18,19
"219",0.491351869211244,0.491910605429998,19,20
"220",0.527504982915661,0.527571520922409,19,21
"221",0.555884581173826,0.557033980683966,18,22
"222",0.617594029217015,0.620671061912179,17,23
"223",0.610120716079231,0.613019515216532,17,24
"224",0.61171537510606,0.613411426220942,17,25
"225",0.653201327730503,0.654413895555973,17,26
"226",0.750110616079963,0.753970079331382,16,27
"227",0.753735257158139,0.753970079331382,16,28
"228",0.712214212679953,0.714519134128652,16,29
"229",0.681555203530191,0.684534939296469,17,30
"230",0.644254633088341,0.647027132321032,18,31
"231",0.55992040576018,0.56319191208978,18,32
"232",0.561433546324295,0.561845272571024,18,33
"233",0.561472916947875,0.563364656640037,18,34
"234",0.60686460090457,0.607370381635639,17,35
"235",0.57234986082682,0.574952039153418,18,36
"236",0.57234986082682,0.572366525928652,18,37
"237",0.573201268955923,0.576036342074676,18,38
